Country,Continent,Rank,Title,Artists,Album,Explicit,Duration
Global,Global,27,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26
Global,Global,28,Party Girl,StaySolidRocky,Party Girl,0,2:27
Global,Global,29,Watermelon Sugar,Harry Styles,Fine Line,0,2:54
Global,Global,30,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
Global,Global,31,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
Global,Global,32,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
Global,Global,33,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
Global,Global,34,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
Global,Global,35,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12
Global,Global,36,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
Global,Global,37,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
Global,Global,38,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57
Global,Global,39,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
Global,Global,40,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
Global,Global,41,Adore You,Harry Styles,Fine Line,0,3:27
Global,Global,42,Rojo,J Balvin,Colores,0,2:30
Global,Global,43,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
Global,Global,44,Memories,Maroon 5,Memories,0,3:09
Global,Global,45,After Party,Don Toliver,Heaven Or Hell,1,2:47
Global,Global,46,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14
Global,Global,47,Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes (Deluxe),0,3:10
Global,Global,48,Daechwita,Agust D,D-2,1,3:45
Global,Global,49,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
Global,Global,50,Favorito,Camilo,Por Primera Vez,0,3:29
Argentina,South America,1,Colocao,Nicki Nicole,Colocao,1,2:59
Argentina,South America,2,Favorito,Camilo,Por Primera Vez,0,3:29
Argentina,South America,3,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52
Argentina,South America,4,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
Argentina,South America,5,"C.R.O: Bzrp Music Session, Vol. 29","Bizarrap, C.R.O","C.R.O: Bzrp Music Session, Vol. 29",0,2:26
Argentina,South America,6,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17
Argentina,South America,7,Rojo,J Balvin,Colores,0,2:30
Argentina,South America,8,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Argentina,South America,9,Tattoo,Rauw Alejandro,Tattoo,0,3:22
Argentina,South America,10,Inolvidable,"Ovy On The Drums, Beéle",Inolvidable,0,3:45
Argentina,South America,11,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
Argentina,South America,12,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09
Argentina,South America,13,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
Argentina,South America,14,Diosa,Myke Towers,Easy Money Baby,1,3:34
Argentina,South America,15,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta (Remix),1,5:45
Argentina,South America,16,Relación,Sech,1 of 1,0,3:04
Argentina,South America,17,Morado,J Balvin,Colores,0,3:20
Argentina,South America,18,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46
Argentina,South America,19,Blinding Lights,The Weeknd,After Hours,0,3:20
Argentina,South America,20,Tak Tiki Tak,Harry Nach,Tak Tiki Tak,1,3:32
Argentina,South America,21,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Argentina,South America,22,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
Argentina,South America,23,Loco,Beéle,Loco,0,3:24
Argentina,South America,24,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29
Argentina,South America,25,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Argentina,South America,26,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
Argentina,South America,27,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
Argentina,South America,28,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Argentina,South America,29,Amarillo,J Balvin,Colores,0,2:37
Argentina,South America,30,ALMA DINAMITA,WOS,Tres Puntos Suspensivos,0,2:53
Argentina,South America,31,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30
Argentina,South America,32,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49
Argentina,South America,33,High,Maria Becerra,High,1,3:07
Argentina,South America,34,Ya No Más,"Fer Palacio, DJ Alex, Santiago Saez",Ya No Más,0,2:38
Argentina,South America,35,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Argentina,South America,36,Flasheaste Amor,"Agapornis, Hernan y La Champion's Liga, Lauro",Flasheaste Amor,0,2:55
Argentina,South America,37,Como Llora,Juanfran,Como Llora,0,3:07
Argentina,South America,38,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31
Argentina,South America,39,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
Argentina,South America,40,Muévelo,"Nicky Jam, Daddy Yankee",Muévelo,0,3:14
Argentina,South America,41,Dónde Estás,KHEA,Dónde Estás,0,2:33
Argentina,South America,42,Recuerdo,"TINI, Mau y Ricky",Recuerdo,0,3:20
Argentina,South America,43,Bounce,Cazzu,Bonus Trap,0,2:13
Argentina,South America,44,La Cama - Remix,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro",La Cama (Remix),0,5:30
Argentina,South America,45,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
Argentina,South America,46,La Pared 360,"Lenny Tavárez, Justin Quiles",La Pared 360,1,2:34
Argentina,South America,47,Moon,"Maria Becerra, DANI",Moon,0,3:22
Argentina,South America,48,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Modo Avión,1,5:04
Argentina,South America,49,ALGO DEL VACÍO,"WOS, Manu Oliva",Tres Puntos Suspensivos,0,3:33
Argentina,South America,50,Par-Tusa,El Dipy,Par-Tusa,1,3:10
Australia,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Australia,Australia,2,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Australia,Australia,3,Blinding Lights,The Weeknd,After Hours,0,3:20
Australia,Australia,4,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Australia,Australia,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Australia,Australia,6,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
Australia,Australia,7,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Australia,Australia,8,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
Australia,Australia,9,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
Australia,Australia,10,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
Australia,Australia,11,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Australia,Australia,12,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
Australia,Australia,13,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
Australia,Australia,14,Sunday Best,Surfaces,Where the Light Is,0,2:38
Australia,Australia,15,Watermelon Sugar,Harry Styles,Fine Line,0,2:54
Australia,Australia,16,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
Australia,Australia,17,In Your Eyes,The Weeknd,After Hours,1,3:57
Australia,Australia,18,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
Australia,Australia,19,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
Australia,Australia,20,Pump It Up,Endor,Pump It Up,0,2:30
Australia,Australia,21,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),1,4:02
Australia,Australia,22,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
Australia,Australia,23,GOOBA,6ix9ine,GOOBA,1,2:12
Australia,Australia,24,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
Australia,Australia,25,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
Australia,Australia,26,This City,Sam Fischer,This City,0,3:14
Australia,Australia,27,After Party,Don Toliver,Heaven Or Hell,1,2:47
Australia,Australia,28,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26
Australia,Australia,29,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Australia,Australia,30,Circles,Post Malone,Hollywood's Bleeding,0,3:35
Australia,Australia,31,Party Girl,StaySolidRocky,Party Girl,0,2:27
Australia,Australia,32,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02
Australia,Australia,33,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0,3:28
Australia,Australia,34,Rover (feat. DTG),"S1mba, DTG",Rover (feat. DTG),1,2:47
Australia,Australia,35,Adore You,Harry Styles,Fine Line,0,3:27
Australia,Australia,36,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
Australia,Australia,37,Live In Life,The Rubens,Live In Life,0,3:36
Australia,Australia,38,Say So,Doja Cat,Hot Pink,1,3:57
Australia,Australia,39,Ride It,Regard,Ride It,0,2:37
Australia,Australia,40,Righteous,Juice WRLD,Righteous,1,4:03
Australia,Australia,41,You should be sad,Halsey,Manic,1,3:25
Australia,Australia,42,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
Australia,Australia,43,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,0,2:48
Australia,Australia,44,Falling,Trevor Daniel,Nicotine,0,2:39
Australia,Australia,45,Bad Child,Tones And I,Bad Child/Can't Be Happy All The Time,1,3:41
Australia,Australia,46,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57
Australia,Australia,47,Memories,Maroon 5,Memories,0,3:09
Australia,Australia,48,Know Your Worth,"Khalid, Disclosure",Know Your Worth,0,3:01
Australia,Australia,49,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19
Australia,Australia,50,Go Crazy,"Chris Brown, Young Thug",Slime & B,1,2:56
Austria,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29
Austria,Europe,2,Komm Komm,Capital Bra,Komm Komm,0,2:40
Austria,Europe,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Austria,Europe,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Austria,Europe,5,GOOBA,6ix9ine,GOOBA,1,2:12
Austria,Europe,6,Fame,Apache 207,Fame,0,2:53
Austria,Europe,7,Blinding Lights,The Weeknd,After Hours,0,3:20
Austria,Europe,8,Nicht verdient,"Capital Bra, Loredana",Nicht verdient,0,2:56
Austria,Europe,9,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
Austria,Europe,10,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Austria,Europe,11,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
Austria,Europe,12,Roller,Apache 207,Platte,1,2:37
Austria,Europe,13,FAVELA,Dardan,FAVELA,1,2:39
Austria,Europe,14,Airwaves,Pashanim,Airwaves,0,2:58
Austria,Europe,15,Salt,Ava Max,Salt,0,3:00
Austria,Europe,16,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Austria,Europe,17,Emotions,Ufo361,Rich Rich,0,2:26
Austria,Europe,18,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Austria,Europe,19,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
Austria,Europe,20,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Austria,Europe,21,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28
Austria,Europe,22,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Austria,Europe,23,GEHT NICH GIBS NICH,"KC Rebell, Summer Cem",GEHT NICH GIBS NICH,0,3:00
Austria,Europe,24,Kings & Queens,Ava Max,Kings & Queens,0,2:42
Austria,Europe,25,Maison,Luciano,Maison,0,3:13
Austria,Europe,26,90-60-111,Shirin David,90-60-111,1,2:21
Austria,Europe,27,Fingertips,Tom Gregory,Fingertips,0,2:45
Austria,Europe,28,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
Austria,Europe,29,Ich würd' lügen,KAYEF,Struggle Is Real,0,2:43
Austria,Europe,30,Shotz Fired,Bonez MC,Shotz Fired,1,2:59
Austria,Europe,31,Falling,Trevor Daniel,Nicotine,0,2:39
Austria,Europe,32,The Passenger (LaLaLa),"LUM!X, MOKABY & D.T.E, Gabry Ponte",The Passenger (LaLaLa),0,2:39
Austria,Europe,33,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
Austria,Europe,34,Late Night,Luciano,Late Night,0,3:20
Austria,Europe,35,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),0,3:06
Austria,Europe,36,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
Austria,Europe,37,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
Austria,Europe,38,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19
Austria,Europe,39,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
Austria,Europe,40,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
Austria,Europe,41,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
Austria,Europe,42,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
Austria,Europe,43,Close Your Eyes,"Felix Jaehn, VIZE, Miss Li",Close Your Eyes,0,2:40
Austria,Europe,44,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
Austria,Europe,45,Never Let Me Down,"VIZE, Tom Gregory",Never Let Me Down,0,2:33
Austria,Europe,46,Like I Love You,"Nico Santos, Topic",Nico Santos,0,3:23
Austria,Europe,47,Ride It,Regard,Ride It,0,2:37
Austria,Europe,48,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14
Austria,Europe,49,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
Austria,Europe,50,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12
Belgium,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20
Belgium,Europe,2,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Belgium,Europe,3,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Belgium,Europe,4,Kom Wat Dichterbij - Uit Liefde Voor Muziek,"Regi, Jake Reese, OT",Vergeet De Tijd,0,3:24
Belgium,Europe,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Belgium,Europe,6,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
Belgium,Europe,7,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
Belgium,Europe,8,GOOBA,6ix9ine,GOOBA,1,2:12
Belgium,Europe,9,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Belgium,Europe,10,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Belgium,Europe,11,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Belgium,Europe,12,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
Belgium,Europe,13,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
Belgium,Europe,14,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Belgium,Europe,15,Sunday Best,Surfaces,Where the Light Is,0,2:38
Belgium,Europe,16,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
Belgium,Europe,17,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
Belgium,Europe,18,Ride It,Regard,Ride It,0,2:37
Belgium,Europe,19,Falling,Trevor Daniel,Nicotine,0,2:39
Belgium,Europe,20,Never Seen The Rain,Tones And I,Never Seen The Rain (Alternate Version),0,3:20
Belgium,Europe,21,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
Belgium,Europe,22,In Your Eyes,The Weeknd,After Hours,1,3:57
Belgium,Europe,23,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
Belgium,Europe,24,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28
Belgium,Europe,25,Physical,Dua Lipa,Future Nostalgia,0,3:13
Belgium,Europe,26,Say So,Doja Cat,Hot Pink,1,3:57
Belgium,Europe,27,Zo Ver Weg - Uit Liefde Voor Muziek,"Regi, Jake Reese, OT",Vergeet De Tijd,0,4:05
Belgium,Europe,28,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
Belgium,Europe,29,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0,3:28
Belgium,Europe,30,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02
Belgium,Europe,31,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
Belgium,Europe,32,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,0,2:48
Belgium,Europe,33,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
Belgium,Europe,34,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
Belgium,Europe,35,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
Belgium,Europe,36,Party Girl,StaySolidRocky,Party Girl,0,2:27
Belgium,Europe,37,Some Say,Nea,Some Say,0,2:55
Belgium,Europe,38,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12
Belgium,Europe,39,Skechers,DripReport,Skechers,1,1:46
Belgium,Europe,40,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",0,2:59
Belgium,Europe,41,everything i wanted,Billie Eilish,everything i wanted,0,4:05
Belgium,Europe,42,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14
Belgium,Europe,43,Salt,Ava Max,Salt,0,3:00
Belgium,Europe,44,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
Belgium,Europe,45,Adore You,Harry Styles,Fine Line,0,3:27
Belgium,Europe,46,Little Submarine - Live Uit Liefde Voor Muziek,The Starlings,Don't Look Back,0,3:21
Belgium,Europe,47,Savage,Megan Thee Stallion,Suga,1,2:35
Belgium,Europe,48,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
Belgium,Europe,49,What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,0,3:00
Belgium,Europe,50,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
Bolivia,South America,1,Rojo,J Balvin,Colores,0,2:30
Bolivia,South America,2,Favorito,Camilo,Por Primera Vez,0,3:29
Bolivia,South America,3,Blinding Lights,The Weeknd,After Hours,0,3:20
Bolivia,South America,4,Bajo La Mesa,"Morat, Sebastian Yatra",Bajo La Mesa,0,2:37
Bolivia,South America,5,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
Bolivia,South America,6,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Bolivia,South America,7,Tattoo,Rauw Alejandro,Tattoo,0,3:22
Bolivia,South America,8,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17
Bolivia,South America,9,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09
Bolivia,South America,10,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52
Bolivia,South America,11,Relación,Sech,1 of 1,0,3:04
Bolivia,South America,12,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
Bolivia,South America,13,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,1,3:47
Bolivia,South America,14,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46
Bolivia,South America,15,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29
Bolivia,South America,16,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30
Bolivia,South America,17,Diosa,Myke Towers,Easy Money Baby,1,3:34
Bolivia,South America,18,Morado,J Balvin,Colores,0,3:20
Bolivia,South America,19,Jangueo,"Alex Rose, Rafa Pabön",LOST,0,4:19
Bolivia,South America,20,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
Bolivia,South America,21,Amarillo,J Balvin,Colores,0,2:37
Bolivia,South America,22,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
Bolivia,South America,23,Tak Tiki Tak,Harry Nach,Tak Tiki Tak,1,3:32
Bolivia,South America,24,Azul,J Balvin,Colores,0,3:25
Bolivia,South America,25,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
Bolivia,South America,26,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Bolivia,South America,27,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
Bolivia,South America,28,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Bolivia,South America,29,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,0,2:50
Bolivia,South America,30,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
Bolivia,South America,31,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
Bolivia,South America,32,LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,4:02
Bolivia,South America,33,El Efecto,"Rauw Alejandro, Chencho Corleone",El Efecto,0,3:37
Bolivia,South America,34,Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
Bolivia,South America,35,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31
Bolivia,South America,36,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Sigues Con El (Remix),0,3:09
Bolivia,South America,37,Djadja,Aya Nakamura,NAKAMURA,0,2:51
Bolivia,South America,38,La Difícil,Camilo,Por Primera Vez,0,2:38
Bolivia,South America,39,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Famouz,0,5:09
Bolivia,South America,40,La Mitad,"Camilo, Christian Nodal",Por Primera Vez,0,2:57
Bolivia,South America,41,Vete,Bad Bunny,YHLQMDLG,1,3:12
Bolivia,South America,42,ADMV,Maluma,ADMV,0,3:13
Bolivia,South America,43,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Bolivia,South America,44,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",LAS QUE NO IBAN A SALIR,1,3:29
Bolivia,South America,45,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49
Bolivia,South America,46,Detente,"Mike Bahía, Danny Ocean",Navegando,0,3:01
Bolivia,South America,47,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Para Aventuras y Curiosidades,1,3:24
